Title,Year,RunTime,Rating,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,826555,381.01,David Yates, Daniel Radcliffe,  Emma Watson,  Rupert Grint,  Michael Gambon
"Monsters, Inc.",2001,92,8.1,867332,289.92,"Pete Docter,  David Silverman,  Lee Unkrich", Billy Crystal,  John Goodman,  Mary Gibbs,  Steve Buscemi
The Princess Bride,1987,98,8.1,416207,30.86,Rob Reiner, Cary Elwes,  Mandy Patinkin,  Robin Wright,  Chris Sarandon
Dune,2021,155,8.1,452757,,Denis Villeneuve, Timothée Chalamet,  Rebecca Ferguson,  Zendaya,  Oscar Isaac
Snatch,2000,102,8.2,824985,30.33,Guy Ritchie, Jason Statham,  Brad Pitt,  Stephen Graham,  Vinnie Jones
Rear Window,1954,112,8.5,473590,36.76,Alfred Hitchcock, James Stewart,  Grace Kelly,  Wendell Corey,  Thelma Ritter
The Wages of Fear,1953,131,8.1,59153,,Henri-Georges Clouzot, Yves Montand,  Charles Vanel,  Peter van Eyck,  Folco Lulli
Back to the Future,1985,116,8.5,1138009,210.61,Robert Zemeckis, Michael J. Fox,  Christopher Lloyd,  Lea Thompson,  Crispin Glover
Toy Story,1995,81,8.3,945624,191.8,John Lasseter, Tom Hanks,  Tim Allen,  Don Rickles,  Jim Varney
The Treasure of the Sierra Madre,1948,126,8.2,121520,5.01,John Huston, Humphrey Bogart,  Walter Huston,  Tim Holt,  Bruce Bennett
Hachi: A Dog's Tale,2009,93,8.1,272106,,Lasse Hallström, Richard Gere,  Joan Allen,  Cary-Hiroyuki Tagawa,  Sarah Roemer
Pan's Labyrinth,2006,118,8.2,647658,37.63,Guillermo del Toro, Ivana Baquero,  Ariadna Gil,  Sergi López,  Maribel Verdú
Room,2015,118,8.1,400918,14.68,Lenny Abrahamson, Brie Larson,  Jacob Tremblay,  Sean Bridgers,  Wendy Crewson
The Dark Knight,2008,152,9.0,2480130,534.86,Christopher Nolan, Christian Bale,  Heath Ledger,  Aaron Eckhart,  Michael Caine
Gangs of Wasseypur,2012,321,8.2,92036,,Anurag Kashyap, Manoj Bajpayee,  Richa Chadha,  Nawazuddin Siddiqui,  Tigmanshu Dhulia
Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,931142,248.16,Steven Spielberg, Harrison Ford,  Karen Allen,  Paul Freeman,  John Rhys-Davies
Das Boot,1981,149,8.3,244029,11.49,Wolfgang Petersen, Jürgen Prochnow,  Herbert Grönemeyer,  Klaus Wennemann,  Hubertus Bengsch
Your Name.,2016,106,8.4,237651,5.02,Makoto Shinkai, Ryûnosuke Kamiki,  Mone Kamishiraishi,  Ryô Narita,  Aoi Yûki
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,474011,0.28,Stanley Kubrick, Peter Sellers,  George C. Scott,  Sterling Hayden,  Keenan Wynn
Whiplash,2014,106,8.5,785800,13.09,Damien Chazelle, Miles Teller,  J.K. Simmons,  Melissa Benoist,  Paul Reiser
Ikiru,1952,143,8.3,75309,0.06,Akira Kurosawa, Takashi Shimura,  Nobuo Kaneko,  Shin'ichi Himori,  Haruo Tanaka
Cinema Paradiso,1988,155,8.5,250293,11.99,Giuseppe Tornatore, Philippe Noiret,  Enzo Cannavale,  Antonella Attili,  Isa Danieli
Million Dollar Baby,2004,132,8.1,666573,100.49,Clint Eastwood, Hilary Swank,  Clint Eastwood,  Morgan Freeman,  Jay Baruchel
The 400 Blows,1959,99,8.1,113568,,François Truffaut, Jean-Pierre Léaud,  Albert Rémy,  Claire Maurier,  Guy Decomble
The General,1926,67,8.1,88344,1.03,"Clyde Bruckman,  Buster Keaton", Buster Keaton,  Marion Mack,  Glen Cavender,  Jim Farley
Eternal Sunshine of the Spotless Mind,2004,108,8.3,964423,34.4,Michel Gondry, Jim Carrey,  Kate Winslet,  Tom Wilkinson,  Gerry Robert Byrne
All About Eve,1950,138,8.2,127851,0.01,Joseph L. Mankiewicz, Bette Davis,  Anne Baxter,  George Sanders,  Celeste Holm
The Big Lebowski,1998,117,8.1,779023,17.5,"Joel Coen,  Ethan Coen", Jeff Bridges,  John Goodman,  Julianne Moore,  Steve Buscemi
Pulp Fiction,1994,154,8.9,1948662,107.93,Quentin Tarantino, John Travolta,  Uma Thurman,  Samuel L. Jackson,  Bruce Willis
Cool Hand Luke,1967,127,8.1,172350,16.22,Stuart Rosenberg, Paul Newman,  George Kennedy,  Strother Martin,  J.D. Cannon
Raatchasan,2018,170,8.4,37474,,Ram Kumar, Vishnu Vishal,  Amala Paul,  Radha Ravi,  Sangili Murugan
"The Good, the Bad and the Ugly",1966,178,8.8,731123,6.1,Sergio Leone, Clint Eastwood,  Eli Wallach,  Lee Van Cleef,  Aldo Giuffrè
Mary and Max,2009,92,8.1,172890,,Adam Elliot, Toni Collette,  Philip Seymour Hoffman,  Eric Bana,  Barry Humphries
Logan,2017,137,8.1,708633,226.28,James Mangold, Hugh Jackman,  Patrick Stewart,  Dafne Keen,  Boyd Holbrook
The Truman Show,1998,103,8.1,1012807,125.62,Peter Weir, Jim Carrey,  Ed Harris,  Laura Linney,  Noah Emmerich
Scarface,1983,170,8.3,794926,45.6,Brian De Palma, Al Pacino,  Michelle Pfeiffer,  Steven Bauer,  Mary Elizabeth Mastrantonio
