id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
688440633801136672,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,61411239,Virginia,,28806,35.58216,-82.57503,Entire home/apt,80,2,0,,,5,31,0,
688527920286591172,Condo in Asheville · ★4.96 · 2 bedrooms · 3 beds · 2 baths,61844145,Libby,,28801,35.5925442,-82.5566889,Entire home/apt,281,2,46,2023-08-27,3.82,3,50,46,
688989188143447014,Home in Asheville · 3 bedrooms · 3 beds · 2.5 baths,61411239,Virginia,,28806,35.58338,-82.58525,Entire home/apt,125,30,2,2023-01-01,0.20,5,333,2,
689045776415262351,Home in Asheville · ★4.75 · 3 bedrooms · 3 beds · 1.5 baths,78608623,Jamie,,28803,35.56630891809959,-82.53282196819782,Entire home/apt,125,29,4,2023-05-31,0.34,1,163,4,
689803734611520502,Rental unit in Asheville · ★4.97 · 1 bedroom · 1 bed · 1 bath,88376556,Rachael,,28803,35.58088,-82.53473,Entire home/apt,98,2,87,2023-09-10,6.61,1,16,82,
689899696706107536,Home in Asheville · ★5.0 · 4 bedrooms · 6 beds · 3 baths,373018168,Daniel,,28806,35.57433,-82.5828,Entire home/apt,500,4,3,2022-11-27,0.25,1,281,3,
689988576141953763,Home in Fletcher · ★5.0 · 3 bedrooms · 3 beds · 2 baths,474226080,Robin,,28732,35.43503,-82.52794,Entire home/apt,111,1,44,2023-09-03,3.59,1,82,43,
690077496342128940,Home in Asheville · ★4.98 · 1 bedroom · 2 beds · 1 private bath,29216442,Beth,,28806,35.58387,-82.57948,Private room,97,1,56,2023-09-10,4.48,1,323,53,
690726025566206999,Home in Asheville · ★4.96 · 3 bedrooms · 4 beds · 2.5 baths,232831690,Jon,,28806,35.57619,-82.63263,Entire home/apt,150,2,51,2023-09-04,4.09,9,247,50,
691838366687319280,Home in Asheville · 4 bedrooms · 4 beds · 2 baths,323614638,Tamra,,28805,35.60479,-82.52711,Entire home/apt,159,30,0,,,2,365,0,
692578331702675728,Rental unit in Asheville · 1 bedroom · 2 beds · 1 bath,135273792,Louise,,28804,35.6264191,-82.56336449999999,Entire home/apt,124,2,1,2022-08-21,0.08,1,0,0,
692690736208081397,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,108828168,Erik,,28803,35.48801,-82.48929,Entire home/apt,110,1,14,2023-05-28,1.12,1,261,13,
692747310050859560,Home in Asheville · 3 bedrooms · 3 beds · 2.5 baths,3672127,Tonya,,28805,35.5927417,-82.50604659999999,Entire home/apt,188,30,0,,,1,242,0,
693535146849398838,Guesthouse in Asheville · ★4.97 · 1 bedroom · 2 beds · 1 bath,139853785,Gene,,28806,35.50391,-82.61068,Entire home/apt,153,1,38,2023-09-04,3.04,1,310,35,
694810867394175770,Home in Arden · 1 bedroom · 1 bed · 1.5 shared baths,189523337,Tabitha,,28704,35.47144742578645,-82.5570959597826,Private room,44,30,1,2022-10-31,0.09,2,88,1,
695008307440529296,Guest suite in Fletcher · ★5.0 · 1 bedroom · 2 beds · 1 bath,475352747,Matthew And Ayla,,28732,35.43118,-82.52122,Entire home/apt,88,1,44,2023-09-10,3.46,1,325,39,
695155686927508143,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,90132535,Arvin,,28806,35.5825,-82.59349,Entire home/apt,221,2,3,2023-05-10,0.25,3,139,3,
696183666539579217,Home in Asheville · ★4.75 · 3 bedrooms · 5 beds · 0 baths,206690366,Vacasa North Carolina,,28806,35.50907,-82.6152,Entire home/apt,213,2,8,2023-07-30,0.68,10,359,8,
696568972343201433,Home in Asheville · ★5.0 · 3 bedrooms · 3 beds · 2 baths,419247317,Gene,,28806,35.51235,-82.61662,Entire home/apt,367,2,62,2023-09-10,4.92,3,317,60,
